DateTime,Hop,IP,Domain Name,Loss%,Sent,Last,Avg,Best,Worst,StDev,PING tot time,CURL tot time
2024-11-09T08:29:,1,192.168.64.1,?,0.0%,10,0.6,0.9,0.5,1.2,0.2,299.0,1230.63325881958
2024-11-09T08:29:,2,10.11.0.2,?,0.0%,10,5.7,6.4,3.4,13.6,3.2,299.0,1230.63325881958
2024-11-09T08:29:,3,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,299.0,1230.63325881958
2024-11-09T08:29:,4,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,299.0,1230.63325881958
2024-11-09T08:29:,5,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,299.0,1230.63325881958
2024-11-09T08:29:,6,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,299.0,1230.63325881958
2024-11-09T08:29:,7,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,299.0,1230.63325881958
2024-11-09T08:29:,8,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,299.0,1230.63325881958
2024-11-09T08:29:,9,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,299.0,1230.63325881958
2024-11-09T08:29:,10,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,299.0,1230.63325881958
2024-11-09T08:29:,11,152.195.34.118,?,0.0%,10,120.4,279.2,45.6,843.5,305.1,299.0,1230.63325881958
2024-11-09T08:32:,1,192.168.64.1,?,0.0%,10,0.9,0.8,0.5,1.8,0.4,94.4,1268.7182426452637
2024-11-09T08:32:,2,10.11.0.2,?,0.0%,10,5.7,5.9,3.8,10.1,1.9,94.4,1268.7182426452637
2024-11-09T08:32:,3,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,94.4,1268.7182426452637
2024-11-09T08:32:,4,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,94.4,1268.7182426452637
2024-11-09T08:32:,5,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,94.4,1268.7182426452637
2024-11-09T08:32:,6,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,94.4,1268.7182426452637
2024-11-09T08:32:,7,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,94.4,1268.7182426452637
2024-11-09T08:32:,8,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,94.4,1268.7182426452637
2024-11-09T08:32:,9,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,94.4,1268.7182426452637
2024-11-09T08:32:,10,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,94.4,1268.7182426452637
2024-11-09T08:32:,11,152.195.34.118,?,0.0%,10,3938.,470.3,51.4,3938.,1219.1,94.4,1268.7182426452637
2024-11-09T08:35:,1,192.168.64.1,?,0.0%,10,0.9,0.7,0.3,1.1,0.3,52.9,112.1361255645752
2024-11-09T08:35:,2,10.11.0.2,?,0.0%,10,2.4,8.0,2.1,25.1,7.4,52.9,112.1361255645752
2024-11-09T08:35:,3,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,52.9,112.1361255645752
2024-11-09T08:35:,4,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,52.9,112.1361255645752
2024-11-09T08:35:,5,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,52.9,112.1361255645752
2024-11-09T08:35:,6,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,52.9,112.1361255645752
2024-11-09T08:35:,7,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,52.9,112.1361255645752
2024-11-09T08:35:,8,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,52.9,112.1361255645752
2024-11-09T08:35:,9,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,52.9,112.1361255645752
2024-11-09T08:35:,10,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,52.9,112.1361255645752
2024-11-09T08:35:,11,152.195.34.118,?,0.0%,10,67.9,161.3,49.9,504.7,143.6,52.9,112.1361255645752
2024-11-09T08:38:,1,192.168.64.1,?,0.0%,10,1.0,0.9,0.8,1.1,0.1,55.5,105.15809059143066
2024-11-09T08:38:,2,10.11.0.2,?,0.0%,10,4.5,5.3,4.5,6.7,0.7,55.5,105.15809059143066
2024-11-09T08:38:,3,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,55.5,105.15809059143066
2024-11-09T08:38:,4,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,55.5,105.15809059143066
2024-11-09T08:38:,5,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,55.5,105.15809059143066
2024-11-09T08:38:,6,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,55.5,105.15809059143066
2024-11-09T08:38:,7,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,55.5,105.15809059143066
2024-11-09T08:38:,8,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,55.5,105.15809059143066
2024-11-09T08:38:,9,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,55.5,105.15809059143066
2024-11-09T08:38:,10,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,55.5,105.15809059143066
2024-11-09T08:38:,11,152.195.34.118,?,0.0%,10,54.3,134.9,35.0,312.9,99.2,55.5,105.15809059143066
2024-11-09T08:42:,1,192.168.64.1,?,0.0%,10,1.0,0.9,0.4,1.5,0.3,43.4,1765.7346725463867
2024-11-09T08:42:,2,10.11.0.2,?,0.0%,10,5.3,5.9,4.5,8.9,1.4,43.4,1765.7346725463867
2024-11-09T08:42:,3,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,43.4,1765.7346725463867
2024-11-09T08:42:,4,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,43.4,1765.7346725463867
2024-11-09T08:42:,5,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,43.4,1765.7346725463867
2024-11-09T08:42:,6,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,43.4,1765.7346725463867
2024-11-09T08:42:,7,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,43.4,1765.7346725463867
2024-11-09T08:42:,8,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,43.4,1765.7346725463867
2024-11-09T08:42:,9,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,43.4,1765.7346725463867
2024-11-09T08:42:,10,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,43.4,1765.7346725463867
2024-11-09T08:42:,11,152.195.34.118,?,0.0%,10,51.1,92.3,43.5,308.4,81.9,43.4,1765.7346725463867
2024-11-09T08:45:,1,192.168.64.1,?,0.0%,10,0.4,0.4,0.3,0.5,0.1,80.7,762.592077255249
2024-11-09T08:45:,2,10.11.0.2,?,0.0%,10,2.7,3.6,2.3,6.6,1.4,80.7,762.592077255249
