DateTime,Hop,IP,Domain Name,Loss%,Sent,Last,Avg,Best,Worst,StDev,PING tot time,CURL tot time
2024-11-10T18:25:,1,192.168.1.254,bbox.lan,0.0%,10,1.5,1.4,0.9,3.0,0.6,12.2,66.21408462524414
2024-11-10T18:25:,2,87.91.196.2,?,80.0%,10,1690.,1668.,1646.,1690.,31.2,12.2,66.21408462524414
2024-11-10T18:25:,3,???,???,100.0,10,0.0,0.0,0.0,0.0,0.0,12.2,66.21408462524414
2024-11-10T18:25:,4,62.34.2.135,?,0.0%,10,11.7,11.7,11.0,12.2,0.3,12.2,66.21408462524414
2024-11-10T18:25:,5,62.34.3.196,i15-lef01-t2-62-34-3-196.ft.lns.abo.bbox.fr,90.0%,10,11.4,11.4,11.4,11.4,0.0,12.2,66.21408462524414
2024-11-10T18:25:,6,???,???,100.0,10,0.0,0.0,0.0,0.0,0.0,12.2,66.21408462524414
2024-11-10T18:25:,7,154.54.60.121,be3593.ccr41.par01.atlas.cogentco.com,0.0%,10,11.4,11.8,11.3,12.3,0.3,12.2,66.21408462524414
2024-11-10T18:25:,8,130.117.0.34,be2921.rcr21.b032899-0.par01.atlas.cogentco.com,0.0%,10,12.2,12.3,12.1,12.7,0.2,12.2,66.21408462524414
2024-11-10T18:25:,9,149.14.154.106,haproxy.demarc.cogentco.com,0.0%,10,21.1,14.1,12.4,21.1,2.7,12.2,66.21408462524414
2024-11-10T18:25:,10,67.22.59.134,cust-reflected-svc03601.ip.reflected.net,0.0%,10,20.2,15.0,12.4,23.4,3.9,12.2,66.21408462524414
2024-11-10T18:25:,11,66.254.114.41,reflectededge.reflected.net,0.0%,10,11.8,11.9,11.6,12.2,0.2,12.2,66.21408462524414
2024-11-10T18:30:,1,192.168.1.254,bbox.lan,0.0%,10,1.0,1.1,1.0,1.4,0.1,12.3,39.11924362182617
2024-11-10T18:30:,2,87.91.196.2,?,20.0%,10,1219.,300.6,4.2,1219.,388.2,12.3,39.11924362182617
2024-11-10T18:30:,3,62.34.3.103,i15-lef01-t2-62-34-3-103.ft.lns.abo.bbox.fr,90.0%,10,3.9,3.9,3.9,3.9,0.0,12.3,39.11924362182617
2024-11-10T18:30:,4,62.34.2.135,?,0.0%,10,12.2,11.8,10.9,13.2,0.8,12.3,39.11924362182617
2024-11-10T18:30:,5,???,???,100.0,10,0.0,0.0,0.0,0.0,0.0,12.3,39.11924362182617
2024-11-10T18:30:,6,???,???,100.0,10,0.0,0.0,0.0,0.0,0.0,12.3,39.11924362182617
2024-11-10T18:30:,7,154.54.60.121,be3593.ccr41.par01.atlas.cogentco.com,0.0%,10,12.0,11.8,11.4,12.5,0.3,12.3,39.11924362182617
2024-11-10T18:30:,8,130.117.0.34,be2921.rcr21.b032899-0.par01.atlas.cogentco.com,0.0%,10,12.7,12.5,12.0,13.1,0.3,12.3,39.11924362182617
2024-11-10T18:30:,9,149.14.154.106,haproxy.demarc.cogentco.com,0.0%,10,13.2,14.6,12.2,23.3,3.5,12.3,39.11924362182617
2024-11-10T18:30:,10,67.22.59.134,cust-reflected-svc03601.ip.reflected.net,0.0%,10,22.8,15.9,12.2,22.8,4.0,12.3,39.11924362182617
2024-11-10T18:30:,11,66.254.114.41,reflectededge.reflected.net,0.0%,10,12.0,12.2,11.7,14.2,0.7,12.3,39.11924362182617
2024-11-10T18:34:,1,192.168.1.254,bbox.lan,0.0%,10,1.0,1.0,0.8,1.4,0.2,11.8,39.46113586425781
2024-11-10T18:34:,2,87.91.196.2,?,20.0%,10,1538.,1531.,1427.,1623.,72.8,11.8,39.46113586425781
2024-11-10T18:34:,3,62.34.3.103,i15-lef01-t2-62-34-3-103.ft.lns.abo.bbox.fr,90.0%,10,4.8,4.8,4.8,4.8,0.0,11.8,39.46113586425781
2024-11-10T18:34:,4,62.34.2.135,?,0.0%,10,11.2,11.5,10.9,12.8,0.5,11.8,39.46113586425781
2024-11-10T18:34:,5,62.34.3.196,i15-lef01-t2-62-34-3-196.ft.lns.abo.bbox.fr,90.0%,10,10.8,10.8,10.8,10.8,0.0,11.8,39.46113586425781
2024-11-10T18:34:,6,???,???,100.0,10,0.0,0.0,0.0,0.0,0.0,11.8,39.46113586425781
2024-11-10T18:34:,7,154.54.60.121,be3593.ccr41.par01.atlas.cogentco.com,0.0%,10,11.6,11.7,11.2,12.3,0.3,11.8,39.46113586425781
2024-11-10T18:34:,8,130.117.0.34,be2921.rcr21.b032899-0.par01.atlas.cogentco.com,0.0%,10,12.7,15.2,12.1,30.3,6.0,11.8,39.46113586425781
2024-11-10T18:34:,9,149.14.154.106,haproxy.demarc.cogentco.com,0.0%,10,13.2,15.8,12.3,41.0,8.9,11.8,39.46113586425781
2024-11-10T18:34:,10,67.22.59.134,cust-reflected-svc03601.ip.reflected.net,0.0%,10,12.6,16.1,12.1,48.8,11.5,11.8,39.46113586425781
2024-11-10T18:34:,11,66.254.114.41,reflectededge.reflected.net,0.0%,10,11.9,12.0,11.7,12.3,0.2,11.8,39.46113586425781
2024-11-10T18:36:,1,192.168.1.254,bbox.lan,0.0%,10,1.2,1.4,1.0,3.5,0.8,11.9,50.90761184692383
2024-11-10T18:36:,2,87.91.196.2,?,80.0%,10,1611.,1642.,1611.,1673.,43.9,11.9,50.90761184692383
2024-11-10T18:36:,3,???,???,100.0,10,0.0,0.0,0.0,0.0,0.0,11.9,50.90761184692383
2024-11-10T18:36:,4,62.34.2.135,?,0.0%,10,11.4,11.5,10.9,11.7,0.3,11.9,50.90761184692383
2024-11-10T18:36:,5,???,???,100.0,10,0.0,0.0,0.0,0.0,0.0,11.9,50.90761184692383
2024-11-10T18:36:,6,???,???,100.0,10,0.0,0.0,0.0,0.0,0.0,11.9,50.90761184692383
2024-11-10T18:36:,7,154.54.60.121,be3593.ccr41.par01.atlas.cogentco.com,0.0%,10,12.4,11.8,11.3,12.4,0.3,11.9,50.90761184692383
2024-11-10T18:36:,8,130.117.0.34,be2921.rcr21.b032899-0.par01.atlas.cogentco.com,0.0%,10,13.1,12.4,12.0,13.1,0.4,11.9,50.90761184692383
2024-11-10T18:36:,9,149.14.154.106,haproxy.demarc.cogentco.com,0.0%,10,12.3,19.3,12.3,42.0,9.9,11.9,50.90761184692383
2024-11-10T18:36:,10,67.22.59.134,cust-reflected-svc03601.ip.reflected.net,0.0%,10,12.8,15.4,12.4,31.8,6.3,11.9,50.90761184692383
2024-11-10T18:36:,11,66.254.114.41,reflectededge.reflected.net,0.0%,10,11.7,12.0,11.6,12.5,0.3,11.9,50.90761184692383
2024-11-10T18:37:,1,192.168.1.254,bbox.lan,0.0%,10,1.2,1.1,1.0,1.5,0.2,13.1,51.367759704589844
2024-11-10T18:37:,2,87.91.196.2,?,70.0%,10,1502.,1479.,1461.,1502.,20.9,13.1,51.367759704589844
2024-11-10T18:37:,3,62.34.3.103,i15-lef01-t2-62-34-3-103.ft.lns.abo.bbox.fr,90.0%,10,4.2,4.2,4.2,4.2,0.0,13.1,51.367759704589844
2024-11-10T18:37:,4,62.34.2.135,?,0.0%,10,11.4,11.3,10.9,11.7,0.2,13.1,51.367759704589844
2024-11-10T18:37:,5,???,???,100.0,10,0.0,0.0,0.0,0.0,0.0,13.1,51.367759704589844
2024-11-10T18:37:,6,???,???,100.0,10,0.0,0.0,0.0,0.0,0.0,13.1,51.367759704589844
2024-11-10T18:37:,7,154.54.60.121,be3593.ccr41.par01.atlas.cogentco.com,0.0%,10,11.9,11.8,11.4,12.7,0.4,13.1,51.367759704589844
2024-11-10T18:37:,8,130.117.0.34,be2921.rcr21.b032899-0.par01.atlas.cogentco.com,0.0%,10,12.5,12.7,12.2,14.6,0.7,13.1,51.367759704589844
2024-11-10T18:37:,9,149.14.154.106,haproxy.demarc.cogentco.com,0.0%,10,726.5,105.4,12.5,726.5,226.4,13.1,51.367759704589844
2024-11-10T18:37:,10,67.22.59.134,cust-reflected-svc03601.ip.reflected.net,0.0%,10,12.6,12.6,12.2,13.3,0.3,13.1,51.367759704589844
2024-11-10T18:37:,11,66.254.114.41,reflectededge.reflected.net,0.0%,10,11.7,11.8,11.6,12.3,0.2,13.1,51.367759704589844
2024-11-10T18:38:,1,192.168.1.254,bbox.lan,0.0%,10,1.4,1.1,0.9,1.4,0.2,11.8,40.122032165527344
2024-11-10T18:38:,2,87.91.196.2,?,60.0%,10,1515.,1547.,1508.,1650.,69.1,11.8,40.122032165527344
2024-11-10T18:38:,3,62.34.3.103,i15-lef01-t2-62-34-3-103.ft.lns.abo.bbox.fr,90.0%,10,3.8,3.8,3.8,3.8,0.0,11.8,40.122032165527344
2024-11-10T18:38:,4,62.34.2.135,?,0.0%,10,11.4,11.3,10.9,11.7,0.2,11.8,40.122032165527344
2024-11-10T18:38:,5,62.34.3.196,i15-lef01-t2-62-34-3-196.ft.lns.abo.bbox.fr,90.0%,10,10.8,10.8,10.8,10.8,0.0,11.8,40.122032165527344
2024-11-10T18:38:,6,???,???,100.0,10,0.0,0.0,0.0,0.0,0.0,11.8,40.122032165527344
2024-11-10T18:38:,7,154.54.60.121,be3593.ccr41.par01.atlas.cogentco.com,0.0%,10,11.6,11.7,11.2,12.4,0.4,11.8,40.122032165527344
2024-11-10T18:38:,8,130.117.0.34,be2921.rcr21.b032899-0.par01.atlas.cogentco.com,0.0%,10,12.2,12.2,11.7,12.7,0.3,11.8,40.122032165527344
2024-11-10T18:38:,9,149.14.154.106,haproxy.demarc.cogentco.com,0.0%,10,20.2,14.2,12.4,20.2,3.2,11.8,40.122032165527344
2024-11-10T18:38:,10,67.22.59.134,cust-reflected-svc03601.ip.reflected.net,0.0%,10,12.5,12.7,12.3,13.9,0.5,11.8,40.122032165527344
2024-11-10T18:38:,11,66.254.114.41,reflectededge.reflected.net,0.0%,10,11.7,12.1,11.6,13.4,0.5,11.8,40.122032165527344
2024-11-10T18:41:,1,192.168.1.254,bbox.lan,0.0%,10,0.9,1.1,0.9,1.4,0.2,11.7,49.98588562011719
2024-11-10T18:41:,2,87.91.196.2,?,80.0%,10,1446.,1474.,1446.,1502.,39.5,11.7,49.98588562011719
